==========
일반 데이터 보고서
==========

시험 데이타 파일 : C:\Zive Data\Smart Interface\Experiments\Data\박겸손\23_DCIR_FCC_cyc\20230524\HNE_FCC_DCIR3_06_026.wrd
테스트 기간 : 2023-05-24 03:59:46 ~ 2023-05-27 03:12:59
데이터 개수 : 14477
시험자 성명 : 
상품 번호 : 
메모 : 
조건 파일명 : F:\23_DCIR_FCC.cyc
단계 개수 : 24

--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
인덱스         	시험_시간(s)   	사이클_번호    	사이클_시간(s) 	단계_번호      	단계_시간(s)   	전류(A)        	전압(V)        	IR(ohm)       	보조전압1(V)   	보조전압2(V)   	보조전압3(V)   	온도('C)       	OCP(V)         	파워(W)        	부하(Ohm)      	누적_용량(Ah)  	절대값_용량(Ah)	전류_범위      
--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
5439          	1:02:19:13.140	1             	1:02:19:13.140	3             	0:00:21:00.000	0.00000E+000  	4.00925E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00925E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5440          	1:02:19:43.140	1             	1:02:19:43.140	3             	0:00:21:30.000	0.00000E+000  	4.00925E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00925E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5441          	1:02:20:13.140	1             	1:02:20:13.140	3             	0:00:22:00.000	0.00000E+000  	4.00909E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00909E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5442          	1:02:20:43.140	1             	1:02:20:43.140	3             	0:00:22:30.000	0.00000E+000  	4.00877E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00877E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5443          	1:02:21:13.140	1             	1:02:21:13.140	3             	0:00:23:00.000	0.00000E+000  	4.00877E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00877E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5444          	1:02:21:43.140	1             	1:02:21:43.140	3             	0:00:23:30.000	0.00000E+000  	4.00862E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00862E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5445          	1:02:22:13.140	1             	1:02:22:13.140	3             	0:00:24:00.000	0.00000E+000  	4.00846E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00846E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5446          	1:02:22:43.140	1             	1:02:22:43.140	3             	0:00:24:30.000	0.00000E+000  	4.00830E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00830E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5447          	1:02:23:13.140	1             	1:02:23:13.140	3             	0:00:25:00.000	0.00000E+000  	4.00830E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00830E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5448          	1:02:23:43.140	1             	1:02:23:43.140	3             	0:00:25:30.000	0.00000E+000  	4.00798E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00798E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5449          	1:02:24:13.140	1             	1:02:24:13.140	3             	0:00:26:00.000	0.00000E+000  	4.00814E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00814E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5450          	1:02:24:43.140	1             	1:02:24:43.140	3             	0:00:26:30.000	0.00000E+000  	4.00782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00782E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5451          	1:02:25:13.140	1             	1:02:25:13.140	3             	0:00:27:00.000	0.00000E+000  	4.00767E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00767E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5452          	1:02:25:43.140	1             	1:02:25:43.140	3             	0:00:27:30.000	0.00000E+000  	4.00782E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00782E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5453          	1:02:26:13.140	1             	1:02:26:13.140	3             	0:00:28:00.000	0.00000E+000  	4.00767E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00767E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5454          	1:02:26:43.140	1             	1:02:26:43.140	3             	0:00:28:30.000	0.00000E+000  	4.00767E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00767E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5455          	1:02:27:13.140	1             	1:02:27:13.140	3             	0:00:29:00.000	0.00000E+000  	4.00751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00751E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5456          	1:02:27:43.140	1             	1:02:27:43.140	3             	0:00:29:30.000	0.00000E+000  	4.00735E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00735E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5457          	1:02:28:13.140	1             	1:02:28:13.140	3             	0:00:30:00.000	0.00000E+000  	4.00751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00751E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5458          	1:02:28:43.140	1             	1:02:28:43.140	3             	0:00:30:30.000	0.00000E+000  	4.00735E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00735E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5459          	1:02:29:13.140	1             	1:02:29:13.140	3             	0:00:31:00.000	0.00000E+000  	4.00751E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00751E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5460          	1:02:29:43.140	1             	1:02:29:43.140	3             	0:00:31:30.000	0.00000E+000  	4.00719E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00719E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5461          	1:02:30:13.140	1             	1:02:30:13.140	3             	0:00:32:00.000	0.00000E+000  	4.00719E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00719E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5462          	1:02:30:43.140	1             	1:02:30:43.140	3             	0:00:32:30.000	0.00000E+000  	4.00703E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00703E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5463          	1:02:31:13.140	1             	1:02:31:13.140	3             	0:00:33:00.000	0.00000E+000  	4.00703E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00703E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5464          	1:02:31:43.140	1             	1:02:31:43.140	3             	0:00:33:30.000	0.00000E+000  	4.00687E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00687E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5465          	1:02:32:13.140	1             	1:02:32:13.140	3             	0:00:34:00.000	0.00000E+000  	4.00671E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00671E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5466          	1:02:32:43.140	1             	1:02:32:43.140	3             	0:00:34:30.000	0.00000E+000  	4.00687E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00687E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5467          	1:02:33:13.140	1             	1:02:33:13.140	3             	0:00:35:00.000	0.00000E+000  	4.00671E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00671E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5468          	1:02:33:43.140	1             	1:02:33:43.140	3             	0:00:35:30.000	0.00000E+000  	4.00671E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00671E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5469          	1:02:34:13.140	1             	1:02:34:13.140	3             	0:00:36:00.000	0.00000E+000  	4.00656E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00656E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5470          	1:02:34:43.140	1             	1:02:34:43.140	3             	0:00:36:30.000	0.00000E+000  	4.00656E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00656E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5471          	1:02:35:13.140	1             	1:02:35:13.140	3             	0:00:37:00.000	0.00000E+000  	4.00640E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00640E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5472          	1:02:35:43.140	1             	1:02:35:43.140	3             	0:00:37:30.000	0.00000E+000  	4.00640E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00640E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5473          	1:02:36:13.140	1             	1:02:36:13.140	3             	0:00:38:00.000	0.00000E+000  	4.00640E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00640E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5474          	1:02:36:43.140	1             	1:02:36:43.140	3             	0:00:38:30.000	0.00000E+000  	4.00640E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00640E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5475          	1:02:37:13.140	1             	1:02:37:13.140	3             	0:00:39:00.000	0.00000E+000  	4.00656E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00656E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5476          	1:02:37:43.140	1             	1:02:37:43.140	3             	0:00:39:30.000	0.00000E+000  	4.00640E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00640E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5477          	1:02:38:13.140	1             	1:02:38:13.140	3             	0:00:40:00.000	0.00000E+000  	4.00624E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00624E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5478          	1:02:38:43.140	1             	1:02:38:43.140	3             	0:00:40:30.000	0.00000E+000  	4.00624E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00624E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5479          	1:02:39:13.140	1             	1:02:39:13.140	3             	0:00:41:00.000	0.00000E+000  	4.00624E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00624E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5480          	1:02:39:43.140	1             	1:02:39:43.140	3             	0:00:41:30.000	0.00000E+000  	4.00608E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00608E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5481          	1:02:40:13.140	1             	1:02:40:13.140	3             	0:00:42:00.000	0.00000E+000  	4.00608E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00608E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5482          	1:02:40:43.140	1             	1:02:40:43.140	3             	0:00:42:30.000	0.00000E+000  	4.00592E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00592E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5483          	1:02:41:13.140	1             	1:02:41:13.140	3             	0:00:43:00.000	0.00000E+000  	4.00608E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00608E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5484          	1:02:41:43.140	1             	1:02:41:43.140	3             	0:00:43:30.000	0.00000E+000  	4.00592E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00592E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5485          	1:02:42:13.140	1             	1:02:42:13.140	3             	0:00:44:00.000	0.00000E+000  	4.00561E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00561E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5486          	1:02:42:43.140	1             	1:02:42:43.140	3             	0:00:44:30.000	0.00000E+000  	4.00592E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00592E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5487          	1:02:43:13.140	1             	1:02:43:13.140	3             	0:00:45:00.000	0.00000E+000  	4.00561E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00561E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5488          	1:02:43:43.140	1             	1:02:43:43.140	3             	0:00:45:30.000	0.00000E+000  	4.00561E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00561E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5489          	1:02:44:13.140	1             	1:02:44:13.140	3             	0:00:46:00.000	0.00000E+000  	4.00576E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00576E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5490          	1:02:44:43.140	1             	1:02:44:43.140	3             	0:00:46:30.000	0.00000E+000  	4.00576E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00576E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5491          	1:02:45:13.140	1             	1:02:45:13.140	3             	0:00:47:00.000	0.00000E+000  	4.00576E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00576E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5492          	1:02:45:43.140	1             	1:02:45:43.140	3             	0:00:47:30.000	0.00000E+000  	4.00561E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00561E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5493          	1:02:46:13.140	1             	1:02:46:13.140	3             	0:00:48:00.000	0.00000E+000  	4.00576E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00576E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5494          	1:02:46:43.140	1             	1:02:46:43.140	3             	0:00:48:30.000	0.00000E+000  	4.00561E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00561E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5495          	1:02:47:13.140	1             	1:02:47:13.140	3             	0:00:49:00.000	0.00000E+000  	4.00545E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00545E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5496          	1:02:47:43.140	1             	1:02:47:43.140	3             	0:00:49:30.000	0.00000E+000  	4.00561E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00561E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5497          	1:02:48:13.140	1             	1:02:48:13.140	3             	0:00:50:00.000	0.00000E+000  	4.00561E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00561E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5498          	1:02:48:43.140	1             	1:02:48:43.140	3             	0:00:50:30.000	0.00000E+000  	4.00545E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00545E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5499          	1:02:49:13.140	1             	1:02:49:13.140	3             	0:00:51:00.000	0.00000E+000  	4.00545E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00545E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5500          	1:02:49:43.140	1             	1:02:49:43.140	3             	0:00:51:30.000	0.00000E+000  	4.00545E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00545E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5501          	1:02:50:13.140	1             	1:02:50:13.140	3             	0:00:52:00.000	0.00000E+000  	4.00545E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00545E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5502          	1:02:50:43.140	1             	1:02:50:43.140	3             	0:00:52:30.000	0.00000E+000  	4.00545E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00545E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5503          	1:02:51:13.140	1             	1:02:51:13.140	3             	0:00:53:00.000	0.00000E+000  	4.00529E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00529E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5504          	1:02:51:43.140	1             	1:02:51:43.140	3             	0:00:53:30.000	0.00000E+000  	4.00529E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00529E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5505          	1:02:52:13.140	1             	1:02:52:13.140	3             	0:00:54:00.000	0.00000E+000  	4.00529E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00529E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5506          	1:02:52:43.140	1             	1:02:52:43.140	3             	0:00:54:30.000	0.00000E+000  	4.00513E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00513E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5507          	1:02:53:13.140	1             	1:02:53:13.140	3             	0:00:55:00.000	0.00000E+000  	4.00513E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00513E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5508          	1:02:53:43.140	1             	1:02:53:43.140	3             	0:00:55:30.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5509          	1:02:54:13.140	1             	1:02:54:13.140	3             	0:00:56:00.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5510          	1:02:54:43.140	1             	1:02:54:43.140	3             	0:00:56:30.000	0.00000E+000  	4.00513E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00513E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5511          	1:02:55:13.140	1             	1:02:55:13.140	3             	0:00:57:00.000	0.00000E+000  	4.00529E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00529E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5512          	1:02:55:43.140	1             	1:02:55:43.140	3             	0:00:57:30.000	0.00000E+000  	4.00513E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00513E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5513          	1:02:56:13.140	1             	1:02:56:13.140	3             	0:00:58:00.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5514          	1:02:56:43.140	1             	1:02:56:43.140	3             	0:00:58:30.000	0.00000E+000  	4.00513E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00513E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5515          	1:02:57:13.140	1             	1:02:57:13.140	3             	0:00:59:00.000	0.00000E+000  	4.00513E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00513E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5516          	1:02:57:43.140	1             	1:02:57:43.140	3             	0:00:59:30.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5517          	1:02:58:13.140	1             	1:02:58:13.140	3             	0:01:00:00.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5518          	1:02:58:43.140	1             	1:02:58:43.140	3             	0:01:00:30.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5519          	1:02:59:13.140	1             	1:02:59:13.140	3             	0:01:01:00.000	0.00000E+000  	4.00481E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00481E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5520          	1:02:59:43.140	1             	1:02:59:43.140	3             	0:01:01:30.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5521          	1:03:00:13.140	1             	1:03:00:13.140	3             	0:01:02:00.000	0.00000E+000  	4.00481E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00481E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5522          	1:03:00:43.140	1             	1:03:00:43.140	3             	0:01:02:30.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5523          	1:03:01:13.140	1             	1:03:01:13.140	3             	0:01:03:00.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5524          	1:03:01:43.140	1             	1:03:01:43.140	3             	0:01:03:30.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5525          	1:03:02:13.140	1             	1:03:02:13.140	3             	0:01:04:00.000	0.00000E+000  	4.00481E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00481E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5526          	1:03:02:43.140	1             	1:03:02:43.140	3             	0:01:04:30.000	0.00000E+000  	4.00466E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00466E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5527          	1:03:03:13.140	1             	1:03:03:13.140	3             	0:01:05:00.000	0.00000E+000  	4.00497E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00497E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5528          	1:03:03:43.140	1             	1:03:03:43.140	3             	0:01:05:30.000	0.00000E+000  	4.00466E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00466E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5529          	1:03:04:13.140	1             	1:03:04:13.140	3             	0:01:06:00.000	0.00000E+000  	4.00466E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00466E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5530          	1:03:04:43.140	1             	1:03:04:43.140	3             	0:01:06:30.000	0.00000E+000  	4.00466E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00466E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5531          	1:03:05:13.140	1             	1:03:05:13.140	3             	0:01:07:00.000	0.00000E+000  	4.00466E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00466E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
5532          	1:03:05:43.140	1             	1:03:05:43.140	3             	0:01:07:30.000	0.00000E+000  	4.00466E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	4.00466E+000  	0.00000E+000  	0.00000E+000  	2.76046E-003  	0.00000E+000  	101mA         
